πρώτη	1610
ὅλῳ	1610
ἔχομεν	1609
γένηται	1608
συμβεβηκός	1604
κινοῦν	1601
νοεῖν	1601
ἔοικεν	1600
ἑτέρων	1598
ἐγγὺς	1596
Ἰησοῦν	1596
εἶεν	1595
πίστεως	1595
Χριστῷ	1593
γυναικῶν	1592
Κυρίου	1586
ἔνια	1585
λαοῦ	1584
ἔχοι	1581
κἀν	1575
βασιλείας	1574
θεοῖς	1573
ἕξιν	1573
ἄλλης	1566
διαφέρει	1565
Σωκράτης	1564
γεγονέναι	1563
παρʼ	1563
δείκνυσι	1562
αἷς	1561
μηδενὸς	1558
δὶς	1555
οἶδεν	1553
μόνῳ	1553
εἴς	1548
νόμος	1548
δή	1547
συνεχῶς	1546
δε	1546
Οὐκ	1545
γυναικὸς	1545
μείζων	1543
ἀρχῶν	1539
ἐπιστήμην	1538
βασιλέα	1534
δυοῖν	1529
τηνικαῦτα	1529
καρδίας	1525
διαφορὰς	1524
καιρῷ	1524
ζῶον	1524
ὑποκειμένῳ	1522
αὐτούς	1520
ἐρεῖ	1519
πάσης	1517
Ἀπὸ	1517
ἀγαθὰ	1517
Ἐὰν	1515
ποταμοῦ	1514
ἀληθές	1514
τῶ	1512
Μ	1512
τῇδε	1510
ἐνέργεια	1510
λευκοῦ	1509
ἡμέραν	1508
παῖς	1505
ἔσχατον	1499
γέγονεν	1498
οἵων	1495
ὄψιν	1493
ἀνθρώποις	1493
χειρὸς	1492
κε	1491
Μετὰ	1488
μείζονα	1485
Ὡς	1484
το	1484
γράφεται	1483
τέ	1478
θᾶττον	1474
τρίτον	1474
οἶνον	1473
ϲ	1471
μέσου	1470
τόπου	1469
πόλις	1469
συμβαίνει	1469
εὐθεῖαν	1468
ἡμέρᾳ	1468
ὄντας	1463
αὐτήν	1462
ἤπερ	1462
ὥρας	1457
ὄρος	1457
τά	1453
τίνος	1450
λέγουσι	1448
λαμβάνει	1448
πλησίον	1441
ὀλίγον	1441
κύριον	1441
ἑτέρας	1440
ὧς	1440
τούτους	1439
τʼ	1439
των	1437
τῷδε	1437
οἱονεὶ	1434
πίστιν	1434
λευκόν	1434
ἐναργῶς	1434
τάχα	1432
ὅρων	1431
Πλάτων	1421
μία	1421
ἄλογον	1417
Πατρὸς	1417
κακὰ	1415
ἐτῶν	1413
αὐτό	1411
ἀμφότερα	1411
μέσῳ	1410
Ζεὺς	1408
ἄλλοτε	1408
δηλονότι	1408
ΕΖ	1406
εἴπομεν	1405
Ῥωμαίων	1404
οὔθ	1404
στόμα	1403
ἑκάστην	1403
Τοῦτο	1402
υἱῶν	1401
χυμῶν	1401
σωτῆρος	1400
φύσις	1400
κενὸν	1400
