ἔξωθεν	4255
ὄν	4240
ταὐτὸν	4225
που	4203
πᾶσιν	4193
ὕλης	4192
οὓς	4188
κίνησιν	4187
λέγω	4176
νοῦς	4172
πρὸϲ	4170
Ε	4168
μή	4155
Τὰ	4154
ἦσαν	4149
οἳ	4142
τρεῖς	4128
τινὲς	4128
ἄλλου	4116
πάντες	4112
πᾶς	4110
αὖθις	4106
τέλος	4093
σχῆμα	4091
φῶς	4085
τοι	4080
ἐκείνων	4054
ἕνα	4049
οὔσης	4033
πλέον	4027
κινεῖσθαι	4019
ἔχουσι	4018
μίαν	4009
φύσιν	4006
ὅμως	3993
ψυχὴ	3988
λαβεῖν	3984
οὐκέτι	3974
θεῷ	3972
ἔμπροσθεν	3962
φαίνεται	3952
αὐτὰς	3946
Θεὸς	3939
ἐμοῦ	3928
φύσις	3911
ἐκείνου	3905
sed	3897
δυνάμεως	3891
ταύτην	3879
ἀνθρώπου	3863
ἀληθὲς	3857
for	3853
πρὶν	3831
μικρὸν	3829
μέσον	3825
μέρος	3822
οὐδεὶς	3814
enim	3807
ὑφ	3806
ταύτῃ	3803
τουτέστι	3803
E	3795
μέντοι	3793
ἐκεῖνος	3781
πατρὸς	3779
ἐνδέχεται	3775
he	3770
καθάπερ	3770
τούτῳ	3753
ἔπειτα	3748
ἀρχὴ	3746
του	3742
αἷμα	3728
ὕλη	3694
τοὺϲ	3691
καίτοι	3688
ἀκριβῶς	3680
H	3678
ἔν	3669
as	3660
θ	3652
κύριος	3649
ἄμφω	3640
οὔ	3637
sunt	3637
ἔδει	3627
ἅπαντα	3616
πως	3613
ἑαυτῶν	3609
πολλοὶ	3602
κινεῖται	3594
καί	3581
ἐπʼ	3581
κοινὸν	3568
ἔνθα	3566
εἷς	3560
ὕλην	3557
Ἰησοῦ	3557
τρόπον	3556
τινι	3553
ἥ	3546
ἀλλήλων	3541
μήτε	3519
οὐσία	3493
ζῴων	3484
αὐτόν	3471
λευκὸν	3471
ἐγένετο	3458
ὅπου	3451
γίνονται	3446
ἐντεῦθεν	3444
his	3443
ἡμέρας	3438
C	3432
ὅμοιον	3432
λέγων	3431
ἄλλοι	3429
πυρὸς	3428
ἐμοὶ	3404
γῆ	3396
cf	3396
ἐναντία	3391
ἁπάντων	3389
πόλιϲ	3387
οἷόν	3382
ἥτις	3380
σαφῶς	3377
μία	3376
τοίνυν	3363
Ἰσραὴλ	3361
οἶμαι	3359
μέγεθος	3342
υἱὸς	3338
g	3330
ἄτοπον	3326
θερμὸν	3322
esse	3317
μέρη	3314
σωμάτων	3311
χάριν	3306
ἀρχὰς	3292
λόγου	3292
οὐρανοῦ	3283
τοιούτων	3279
αὖ	3274
ἀνθρώπων	3260
τίς	3247
κυρίως	3232
αὑτὸ	3228
i	3222
δεῖν	3222
F	3215
ἀνὰ	3215
συμβεβηκὸς	3198
γίνονται	3196
γενέσθαι	3196
και	3195
πάθος	3194
with	3191
καθʼ	3190
τοὐ	3188
ἔχουσιν	3186
not	3171
αὐτόν	3171
ἐνεργείᾳ	3161
μεθ	3159
ὁμοῦ	3149
εἰκότως	3147
σώματος	3145
Ζ	3133
πολλοὺς	3132
be	3117
διʼ	3112
ἐγένετο	3109
Δ	3104
δεύτερον	3090
ἅπερ	3079
ἄνδρα	3078
πραγμάτων	3069
λόγων	3067
υἱὸν	3060
ἤγουν	3045
πολλῷ	3043
si	3034
ἃς	3033
was	3024
πατὴρ	3023
πάντες	3007
ἐναντίον	3005
σώματι	3003
πολλοῖς	2983
ἀνὴρ	2982
χρόνου	2979
ἀνδρῶν	2977
μ	2971
ἔργα	2965
Ἐν	2956
ἔχοντες	2953
ὅλων	2952
σώματα	2943
ὅλου	2939
μεῖζον	2939
Ἀριστοτέλης	2938
κεφαλὴν	2936
ἐνέργειαν	2935
Κύριος	2935
ἄλλῳ	2933
οὔτ	2929
ἀγαθῶν	2928
μηδ	2927
πάντας	2926
παῤ	2925
ἐστί	2923
